Designator,Mid X,Mid Y,Rotation,Layer
C1,100.5,-64.5,0.0,top
C10,92.905512,-78.648362,90.0,top
C11,106.743998,-72.75,0.0,top
C12,85.0,-133.5,90.0,top
C13,83.0,-133.5,90.0,top
C14,87.010499,-133.5,270.0,top
C15,101.5,-115.5,90.0,top
C16,97.5,-111.5,270.0,top
C17,101.5,-111.5,270.0,top
C18,97.5,-107.5,270.0,top
C19,107.5,-96.0,0.0,top
C2,103.5,-68.75,270.0,top
C20,103.0,-103.0,0.0,top
C21,107.5,-103.0,0.0,top
C22,93.616327,-106.863063,0.0,top
C23,89.034903,-112.863063,180.0,top
C24,93.616327,-112.863063,180.0,top
C25,89.034903,-120.863063,180.0,top
C26,93.616327,-120.863063,0.0,top
C27,89.034903,-127.863063,180.0,top
C28,82.0,-127.0,270.0,top
C29,82.0,-116.5,270.0,top
C3,93.5,-64.5,0.0,top
C4,103.5,-72.25,270.0,top
C5,92.25,-75.5,270.0,top
C6,93.5,-63.0,0.0,top
C7,100.5,-63.0,180.0,top
C8,100.905512,-78.648362,270.0,top
C9,101.75,-75.51431,90.0,top
D1,87.0,-84.5,90.0,top
D10,87.0,-80.0,90.0,top
D11,108.5,-115.5,270.0,top
D12,87.0,-75.5,90.0,top
D13,87.0,-57.5,90.0,top
D14,87.0,-53.0,90.0,top
D2,87.0,-66.5,90.0,top
D3,108.5,-65.0,90.0,top
D4,108.5,-69.0,90.0,top
D5,108.5,-61.0,90.0,top
D6,87.0,-89.0,90.0,top
D7,87.0,-93.5,90.0,top
D8,108.5,-57.0,90.0,top
D9,108.5,-53.0,90.0,top
F1,85.5,-138.0,270.0,top
F2,82.5,-138.0,270.0,top
H1,95.0,-51.3875,0.0,top
J1,97.83,-58.01,270.0,top
K1,103.81,-129.39,270.0,top
Q1,107.5,-99.5,90.0,top
Q2,103.0,-99.5,90.0,top
Q3,93.5,-129.0,90.0,top
Q4,103.0,-88.0,270.0,top
Q5,107.5,-88.0,270.0,top
R1,89.0,-84.5,90.0,top
R10,106.743998,-82.75,180.0,top
R11,95.0,-138.5,270.0,top
R12,95.0,-133.5,270.0,top
R13,88.0,-138.5,270.0,top
R14,93.0,-138.5,90.0,top
R15,93.0,-133.5,90.0,top
R16,91.0,-133.5,270.0,top
R17,89.0,-133.5,90.0,top
R18,97.5,-115.5,270.0,top
R19,99.5,-115.5,90.0,top
R2,89.0,-66.5,90.0,top
R20,89.0,-80.0,90.0,top
R21,99.5,-111.5,90.0,top
R22,109.0,-111.0,90.0,top
R23,107.0,-111.0,90.0,top
R24,99.5,-107.5,90.0,top
R25,103.0,-96.0,180.0,top
R26,107.5,-94.0,0.0,top
R27,89.0,-75.5,90.0,top
R28,103.0,-94.0,0.0,top
R29,89.034903,-106.863063,0.0,top
R3,106.5,-65.0,90.0,top
R30,93.616327,-110.863063,180.0,top
R31,93.616327,-108.863063,180.0,top
R32,89.034903,-110.863063,180.0,top
R33,89.034903,-108.863063,180.0,top
R34,89.034903,-118.863063,0.0,top
R35,93.616327,-118.863063,0.0,top
R36,89.034903,-129.863063,180.0,top
R37,89.0,-57.5,90.0,top
R38,103.0,-91.0,0.0,top
R39,103.0,-85.0,180.0,top
R4,106.5,-69.0,90.0,top
R40,89.0,-53.0,90.0,top
R41,107.5,-91.0,0.0,top
R42,107.5,-85.0,180.0,top
R43,84.5,-130.0,0.0,top
R44,84.5,-124.0,0.0,top
R45,84.5,-122.0,180.0,top
R46,84.5,-119.5,0.0,top
R47,84.5,-113.5,0.0,top
R48,84.5,-111.5,180.0,top
R5,106.5,-61.0,90.0,top
R6,89.0,-89.0,90.0,top
R7,89.0,-93.5,90.0,top
R8,106.5,-57.0,90.0,top
R9,106.5,-53.0,90.0,top
TP1,83.5,-89.0,0.0,top
TP10,83.5,-57.5,0.0,top
TP11,83.5,-53.0,0.0,top
TP12,83.5,-102.5,0.0,top
TP13,83.5,-107.0,0.0,top
TP2,83.5,-93.5,0.0,top
TP3,83.5,-98.0,0.0,top
TP4,83.5,-84.5,0.0,top
TP5,83.5,-80.0,0.0,top
TP6,83.5,-75.5,0.0,top
TP7,83.5,-71.0,0.0,top
TP8,83.5,-66.5,0.0,top
TP9,83.5,-62.0,0.0,top
U1,97.0,-70.5,0.0,top
U10,89.034903,-124.363063,90.0,top
U11,84.5,-127.0,270.0,top
U12,84.5,-116.5,270.0,top
U2,106.743998,-77.75,180.0,top
U3,90.5,-138.5,270.0,top
U4,105.0,-115.5,270.0,top
U5,104.25,-111.5,180.0,top
U6,103.0,-106.5,270.0,top
U7,107.5,-106.5,270.0,top
U8,89.034903,-115.863063,270.0,top
U9,93.616327,-115.863063,270.0,top
Y1,96.905512,-78.648362,180.0,top
